project_name,project_details,project_status,publish_date,budget,duration,skills,link
محاسبة خبرة في البرامج المحاسبية والقوائم المالية,نحتاج محاسبة تعمل معنا بمقابل شهري تقوم بجميع الاعمال المحاسبية عن بعد وتكون خبرة في استخدام البرامج المحاسبية مثل اودو في الحسابات، ولديها الاستعداد في التواجد في بيئة عمل متعاونة وشغوفة اتحقيق النجاح. المقابل الشهري 100 دولار. اذا عندك الخبرة والاستعداد قدمي العرض وبتواصل معك شرط موظفة بنت فقط، لان بيئة العمل بنات ونفضل تنضم لنا بنت. بالتوفيق لكم جميعاً,مفتوح,2026-03-26 22:06:51,$50.00 - $100.00,"30
    يوما","أودو, القوائم المالية, الإدارة المالية, تدقيق حسابات, محاسبة مالية",https://mostaql.com/project/1224046-%D9%85%D8%AD%D8%A7%D8%B3%D8%A8%D8%A9-%D8%AE%D8%A8%D8%B1%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%A8%D8%B1%D8%A7%D9%85%D8%AC-%D8%A7%D9%84%D9%85%D8%AD%D8%A7%D8%B3%D8%A8%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%A6%D9%85-%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%8A%D8%A9
تصميم لوحة تحكم (Dashboard) لإدارة المشاريع الإغاثية الميدانية,الوصف المختصر: تصميم واجهة تفاعلية (UI/UX) للوحة تحكم مركزية تهدف إلى متابعة وإدارة المشاريع الإغاثية بشكل لحظي. تشمل المشاريع: التكايا (إطعام الطعام)، النقاط الطبية الميدانية، وسيارات توزيع المياه. يتم التركيز على سهولة الاستخدام، وضوح البيانات، ودعم اتخاذ القرار السريع. المكونات الرئيسية للوحة التحكم: نظرة عامة (Overview): بطاقات إحصائية (KPI) توضح عدد المستفيدين اليوم/الأسبوع، إجمالي الوجبات الموزعة، عدد الحالات الطبية، وكمية المياه الموزعة. خريطة تفاعلية (GIS) توضح مواقع التكايا، النقاط الطبية، ومسارات سيارات المياه. إدارة التكايا (Kitchens Management): عرض قائمة بالتكايا وحالة كل منها (نشط/مغلق). مؤشرات كمية الوجبات المجهزة مقابل المطلوبة. مستويات المخزون من المواد الغذائية الرئيسية. إدارة النقاط الطبية (Medical Points): إحصاءات الحالات (حالات الطوارئ، العيادات الخارجية، الأدوية). تتبع توفر الأدوية والمستهلكات الطبية. جدولة أوقات عمل الأطباء والمتطوعين. إدارة سيارات توزيع المياه (Water Trucks): تتبع المواقع الحالية للسيارات عبر GPS. حالة الصهاريج (ممتلئ/قيد التعبئة/فارغ). جدولة خطوط السير (Routes) وعدد الرحلات اليومية. ايضا احتاج إلى لوحة متابعة الشكاوى للمشاريع (المساءلة) الدروس المستفادة,مفتوح,2026-03-26 22:05:37,$100.00 - $250.00,"1
    يوم","تصميم داش بورد, تصميم واجهة المستخدم, تصميم UI UX, تصميم موقع إلكتروني, برمجة مواقع, برمجة",https://mostaql.com/project/1223952-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%84%D9%88%D8%AD%D8%A9-%D8%AA%D8%AD%D9%83%D9%85-dashboard-%D9%84%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D8%B4%D8%A7%D8%B1%D9%8A%D8%B9-%D8%A7%D9%84%D8%A5%D8%BA%D8%A7%D8%AB%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D9%8A%D8%AF%D8%A7%D9%86%D9%8A%D8%A9
استخراج داتا المدرسات وموظفات القطاع الخاص سيدات فقط,مطلوب داتا المدرسات وموظفات القطاع الخاص سيدات لايقل عن ١٠ آلاف رقم تكون صحيحة وحقيقية ومحدثة,مفتوح,2026-03-26 21:58:06,$25.00 - $50.00,"2
    يومين","استخراج البيانات, تحليل البيانات, معالجة البيانات, إدخال بيانات, مايكروسوفت إكسل",https://mostaql.com/project/1224045-%D8%A7%D8%B3%D8%AA%D8%AE%D8%B1%D8%A7%D8%AC-%D8%AF%D8%A7%D8%AA%D8%A7-%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A7%D8%AA-%D9%88%D9%85%D9%88%D8%B8%D9%81%D8%A7%D8%AA-%D8%A7%D9%84%D9%82%D8%B7%D8%A7%D8%B9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5-%D8%B3%D9%8A%D8%AF%D8%A7%D8%AA-%D9%81%D9%82%D8%B7
إنشاء وإثبات ملكية نشاط تجاري على خرائط جوجل (الرياض),"وصف المشروع: مطلوب خبير في منصة Google Business Profile لإنشاء وإضافة نشاط تجاري على خرائط جوجل في مدينة الرياض. تفاصيل النشاط: اسم الشركة: [اسم الشركة]. مجال العمل: [خدمات تنظيف]. رقم الهاتف : الرقم الخاص بنا نوع النشاط: شركة خدمات ميدانية (Service Area Business) - ليس لدينا مقر لاستقبال العملاء، ونقدم خدماتنا في موقع العميل. المهام المطلوبة: إنشاء الحساب وضبط الإعدادات واختيار التصنيفات الصحيحة بدقة. تحديد ""منطقة الخدمة"" (Service Area) لتشمل مدينة الرياض بالكامل. إثبات ملكية النشاط: إدارة عملية التفعيل مع جوجل (سواء عبر البريد، الهاتف، أو الفيديو) لضمان ظهور النشاط للعلن. ضبط بيانات التواصل وساعات العمل بشكل احترافي. الشروط المطلوبة في المستقل: خبرة سابقة في التعامل مع تحديثات جوجل لعام ٢٠٢٦ وقوانين ""الشركات التي لا تملك مقراً"". القدرة على حل مشكلة ""النشاط المعلق"" (Suspended) في حال حدوثها أثناء التفعيل. يفضل من قام بمشاريع مماثلة لشركات خدمات في السعودية. التسليم: تسليم أدارة نشاط تجاري على خرائط جوجل ملاحظة لك: بما أن الشركة ""أون لاين"" فهي تملك مقراً",مفتوح,2026-03-26 21:34:06,$50.00 - $100.00,"10
    أيام","البحث على الإنترنت, التسويق عبر مواقع التواصل الاجتماعي, إدارة المشاريع, التسويق الإلكتروني, التسويق عبر الإنترنت, تحسين السيو الداخلي, خرائط جوجل, إعلانات جوجل, أدوات مشرفي المواقع, محرك تطبيقات جوجل, محسن مواقع الويب من جوجل, برمجة إضافات جوجل كروم, أدوات ويب جوجل GWT",https://mostaql.com/project/1224059-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%88%D8%A5%D8%AB%D8%A8%D8%A7%D8%AA-%D9%85%D9%84%D9%83%D9%8A%D8%A9-%D9%86%D8%B4%D8%A7%D8%B7-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A-%D8%B9%D9%84%D9%89-%D8%AE%D8%B1%D8%A7%D8%A6%D8%B7-%D8%AC%D9%88%D8%AC%D9%84-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
تصميم عرض استثماري (Pitch Deck) لشركة تطوير عقاري,نبحث عن مصمم جرافيك محترف ومبدع لديه خبرة سابقة في تصميم الملفات الاستثمارية (Investment Memorandums) وعروض الشركات (Company Profiles) لجهة تمويلية . تصميم ملف استثماري متكامل (بروشور وعرض تقديمي) لشركة عقاريه,مفتوح,2026-03-26 21:29:46,$50.00 - $100.00,"2
    يومين","تصميم عروض تقديمية, تصميم عروض بوربوينت, باوربوينت, التصميم الإبداعي, تصميم جرافيك, الفكرة التصميمية",https://mostaql.com/project/1224051-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%B9%D8%B1%D8%B6-%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1%D9%8A-pitch-deck-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%B9%D9%82%D8%A7%D8%B1%D9%8A
تحويل المحاضرات الطبية المعقدة إلى ملازم دراسية احترافية وسهلة المذاكرة,أبحث عن مستقل محترف لديه خلفية طبية أو علمية كافية للتعامل مع محاضرات تخصص ، للقيام بإعادة تنسيق 10 من محتوى المحاضرات وتحويلها إلى ملازم دراسية سهلة المذاكرة. 1.تفريغ وتنسيق النص 2.التبسيط البصري 3.التنسيق اللوني 4.إضافة رموز توضيحية,مفتوح,2026-03-26 21:15:24,$25.00 - $50.00,"3
    أيام","التصميم الإبداعي, مايكروسوفت وورد, تنسيق النصوص, إعادة صياغة المحتوى, تلخيص, تلخيص كتب, الفكرة التصميمية",https://mostaql.com/project/1224050-%D8%AA%D8%AD%D9%88%D9%8A%D9%84-%D8%A7%D9%84%D9%85%D8%AD%D8%A7%D8%B6%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%B9%D9%82%D8%AF%D8%A9-%D8%A5%D9%84%D9%89-%D9%85%D9%84%D8%A7%D8%B2%D9%85-%D8%AF%D8%B1%D8%A7%D8%B3%D9%8A%D8%A9-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A%D8%A9-%D9%88%D8%B3%D9%87%D9%84%D8%A9-%D8%A7%D9%84%D9%85%D8%B0%D8%A7%D9%83%D8%B1%D8%A9
إدارة محتوى وتسويق رقمي لشركة ناشئة في مجال التسويق والإعلان,"نبحث عن مختص تسويق وكاتب محتوى لتنفيذ مشروع تسويقي متكامل لشركة ناشئة تعمل في مجال التسويق والإعلان. يشمل المشروع تخطيط وإنشاء وتنفيذ محتوى رقمي يدعم أهداف الشركة في بناء الهوية وزيادة التفاعل والوصول. نطاق العمل والمهام المطلوبة: إعداد خطة محتوى شهرية لمنصات التواصل الاجتماعي (Facebook / Instagram وغيرها) كتابة محتوى تسويقي احترافي (منشورات، إعلانات، نصوص ترويجية) اقتراح أفكار إبداعية للحملات التسويقية إدارة ونشر المحتوى بشكل دوري حسب الخطة متابعة أداء المحتوى (Engagement, Reach) وتقديم تقارير دورية تحسين وتعديل الاستراتيجية بناءً على النتائج مدة المشروع: شهر واحد (قابل للتجديد بناءً على الأداء) المهارات المطلوبة: خبرة من 1 إلى 4 سنوات في التسويق وكتابة المحتوى مهارة عالية في الكتابة الإبداعية والتسويقية فهم جيد لمنصات التواصل الاجتماعي والحملات الإعلانية القدرة على الالتزام بالمواعيد والعمل بشكل منظم",مفتوح,2026-03-26 21:13:48,$100.00 - $250.00,"30
    يوما","تصميم إعلان, التسويق عبر مواقع التواصل الاجتماعي, خدمة العملاء, التسويق عبر الفيس بوك, التسويق الإلكتروني, الكتابة على الإنترنت, التسويق عبر الإنترنت, إعادة صياغة المحتوى, الفكرة التصميمية, كتابة المحتوى",https://mostaql.com/project/1224049-%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D9%85%D8%AD%D8%AA%D9%88%D9%89-%D9%88%D8%AA%D8%B3%D9%88%D9%8A%D9%82-%D8%B1%D9%82%D9%85%D9%8A-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D9%86%D8%A7%D8%B4%D8%A6%D8%A9-%D9%81%D9%8A-%D9%85%D8%AC%D8%A7%D9%84-%D8%A7%D9%84%D8%AA%D8%B3%D9%88%D9%8A%D9%82-%D9%88%D8%A7%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%86
مستقل لمراسلة الشركات الأجنبية بخصوص منتجات,مطلوب مستقل/ة لمراسلة الشركات الأجنبية للحصول على أفضل عروض الأسعار لمنتجات مختارة وإنهاء العقود,مفتوح,2026-03-26 20:55:48,$50.00 - $100.00,"30
    يوما","اللغة الإنجليزية, الترجمة, إدخال بيانات, البحث على الإنترنت, معالجة البيانات, مساعد افتراضي, إدارة علاقات العملاء",https://mostaql.com/project/1224047-%D9%85%D8%B3%D8%AA%D9%82%D9%84-%D9%84%D9%85%D8%B1%D8%A7%D8%B3%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A7%D8%AA-%D8%A7%D9%84%D8%A3%D8%AC%D9%86%D8%A8%D9%8A%D8%A9-%D8%A8%D8%AE%D8%B5%D9%88%D8%B5-%D9%85%D9%86%D8%AA%D8%AC%D8%A7%D8%AA
"مدير حساب لمتجر ""نون السعودية""",نبحث عن مستقل خبير لإدارة حسابنا على منصة Noon Seller Lab بشكل كامل واحترافي. ​المهام المطلوبة من المستقل: ​إدراج الأصناف: رفع المنتجات الجديدة (Listing) وكتابة الأوصاف المناسبة. ​إدارة العروض: التقديم في حملات نون الترويجية (Promotion) وجدولة الخصومات. ​التحصيل والمرتجعات: متابعة المستحقات المالية، معالجة المرتجعات، وضمان سلامة (Seller Score). ​متطلبات العمل: ​خبرة سابقة ومثبتة في البيع عبر نون السعودية. ​دقة عالية في المتابعة ​القدرة على تحليل أداء المتجر وتقديم توصيات لزيادة المبيعات,مفتوح,2026-03-26 20:47:56,$50.00 - $100.00,"30
    يوما","إدارة المشاريع, إدخال بيانات, التسويق عبر الإنترنت, تصميم ملصقات المنتجات, إدارة المتاجر الإلكترونية, التسويق الإلكتروني, إدارة المبيعات",https://mostaql.com/project/1224042-%D9%85%D8%AF%D9%8A%D8%B1-%D8%AD%D8%B3%D8%A7%D8%A8-%D9%84%D9%85%D8%AA%D8%AC%D8%B1-%D9%86%D9%88%D9%86-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9
تصميم فيديو برسوم توضيحية (تعليمية تعريفية),السلام عليكم ،،،، انا هاني صالح، محاسب قانوني، مستشار مالي، محلل مالي، لدي مكتب للمراجعة والاستشارات المالية، احتاج صناعة فيديوهات قصيرة (تعليمية، تعريفية) عن مواضيع محاسبية ، مالية، قانون تجاري ،ضرائب، معايير محاسبة مالية و تدقيق ومراجعة، الفيديوهات برسوم توضيحية تتضمن صوتي في الشرح على شريط الفيديو مع تدخل التطبيقات او الذكاء الصناعي في تحسين نبرة الصوة على الرسوم التوضيحية في الفيديو مدة كل فيديو من60 ثانية الى 2دقيقتين. بعدد 10 فيديوهات مبدأياً . للعرض الفيس بوك و التيك توك، بما فيها من اعلان ممول. ملاحظة: كان لدي موقع للمكتب وأيضا حساب الفيس بوك للمكتب غير مفعل وأريد ان اركز على تفعيل السوشل ميديا من خلال انزال لفيديوهات تعليمية وتعريفية و الحصول على متابعين و عملاء من خلال الإعلانات الممولة التي تحتوي على تلك الفيديوهات. اذا لديك الامكانية الكافية لذلك، برجاء تقديم عروضك وسابقة أعمالك وتوضيح سعر تصميم الفيديو الواحد,مفتوح,2026-03-26 20:45:01,$25.00 - $50.00,"7
    أيام","رسوم متحركة 3D, رسوم متحركة, تصميم جرافيك, التصميم الإبداعي, صناعة فيديو إعلاني, تصميم فيديو, إنتاج الفيديو",https://mostaql.com/project/1224035-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D8%A8%D8%B1%D8%B3%D9%88%D9%85-%D8%AA%D9%88%D8%B6%D9%8A%D8%AD%D9%8A%D8%A9-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9-%D8%AA%D8%B9%D8%B1%D9%8A%D9%81%D9%8A%D8%A9
